Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
541798,Curbi,Flying,23tSVCziOnXVAyayQt0Bi7,65,2022,dance,0.747,0.855,4,-7.27,1,0.0341,0.24,0.807,0.111,0.219,130.038,184837,4
1201023,Beyoncé,If I Were a Boy,26NX1wPt1TRCH536yocd6i,65,2008,dance,0.632,0.518,6,-6.126,1,0.0313,0.107,0.0,0.354,0.427,90.007,249147,4
1201021,Akon,Right Now (Na Na Na),1ARJhjuI6TNYZCxYygFQ4F,65,2008,dance,0.832,0.87,8,-4.2,0,0.167,0.267,0.0,0.412,0.566,138.003,240747,4
1457981,Seu Jorge,Amiga da Minha Mulher,6TVmNRrCRzU3NlyuubLIzZ,65,2011,rock,0.788,0.916,9,-5.152,0,0.121,0.714,0.0,0.0867,0.828,104.013,248080,4
804103,Toby Keith,"Courtesy Of The Red, White And Blue (The Angry American)",0M7mWKqwTIaVjYyxfZmtTa,65,2002,country,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,195533,4
452893,Playboi Carti,Over,08dz3ygXyFur6bL7Au8u8J,65,2020,hip-hop,0.622,0.946,7,-3.593,0,0.0534,0.044,0.0,0.0838,0.336,130.07,166234,4
577960,Anson Seabra,Unloving You,2w9nvs1ByWUGkED4M0ug34,65,2022,singer-songwriter,0.765,0.393,6,-9.616,1,0.0311,0.633,0.0,0.142,0.224,121.909,153863,4
498432,Mc Poze do Rodo,Vida Louca,7IG7laqVpcvIIULrwWP5SA,65,2021,funk,0.852,0.62,6,-5.79,0,0.227,0.359,0.0,0.101,0.744,92.464,155676,4
399093,Maggie Rogers,Light On,6UnCGAEmrbGIOSmGRZQ1M2,65,2019,indie-pop,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,233880,4
605573,MELON,Gimme! Gimme! Gimme! (A Man After Midnight) [Dance],53dN5dvRarTOlebwo1G2BR,65,2023,house,0.781,0.744,7,-5.588,0,0.0381,0.00673,0.00883,0.106,0.307,126.005,161905,4
439862,Blake Rose,Gone,2dPT9UxyHm71quNyj3C4YE,65,2020,electro,0.317,0.545,11,-6.439,0,0.0468,0.039,0.0,0.116,0.14,139.014,205462,5
541744,The Chainsmokers,iPad,4edHoZerfvMGeLz3ohZit6,65,2022,dance,0.665,0.628,2,-6.297,1,0.026,0.00502,2.02e-05,0.0947,0.551,121.979,202406,4
